SWMM5 LID Report File

Project:  *MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
LID Unit: BR_CS1 in Subcatchment A0030RT

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	       mm	       mm	  Content	       mm
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 05/09/1988 00:15:00	    0.250	    0.000	   0.1446	    0.000	    0.000	    2.155	    1.286	   0.000	   23.238	    0.000	    0.000	    0.221	   40.069
 05/09/1988 00:30:00	    0.500	    0.000	   0.1446	    0.000	    0.000	    2.094	    1.286	   0.000	   18.990	    0.000	    0.000	    0.218	   23.868
 05/09/1988 00:45:00	    0.750	    0.000	   0.1446	    0.000	    0.000	    2.036	    1.286	   0.000	   14.656	    0.000	    0.000	    0.215	   11.477
 05/09/1988 01:00:00	    1.000	    0.000	   0.1446	    0.000	    0.000	    1.981	    1.286	   0.000	   10.163	    0.000	    0.000	    0.212	    3.041
 05/09/1988 01:15:00	    1.250	    0.000	   0.1446	    0.000	    0.000	    1.929	    1.286	   0.000	    2.127	    0.000	    0.000	    0.210	    1.719
 05/09/1988 01:30:00	    1.500	    0.000	   0.1446	    0.000	    0.000	    1.880	    1.286	   0.000	    0.643	    0.000	    0.000	    0.207	    1.675
 05/09/1988 01:45:00	    1.750	    0.000	   0.1446	    0.000	    0.000	    1.833	    1.286	   0.000	    0.594	    0.000	    0.000	    0.205	    1.633
 05/09/1988 02:00:00	    2.000	    0.000	   0.1446	    0.000	    0.000	    1.788	    1.286	   0.000	    0.547	    0.000	    0.000	    0.202	    1.593
 05/09/1988 02:15:00	    2.250	    0.000	   0.1446	    0.000	    0.000	    1.721	    1.286	   0.000	    0.502	    0.000	    0.000	    0.200	    1.534
 05/09/1988 02:30:00	    2.500	    0.000	   0.1446	    0.000	    0.000	    0.000	    1.286	   0.000	    0.435	    0.000	    0.000	    0.200	    0.000
 05/09/1988 02:45:00	    2.750	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.200	    0.000
 05/09/1988 03:00:00	    3.000	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 03:15:00	    3.250	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 03:30:00	    3.500	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 03:45:00	    3.750	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 04:00:00	    4.000	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 04:15:00	    4.250	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.199	    0.000
 05/09/1988 04:30:00	    4.500	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.198	    0.000
 05/09/1988 04:45:00	    4.750	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.198	    0.000
 05/09/1988 05:00:00	    5.000	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.198	    0.000
 05/09/1988 05:15:00	    5.250	    0.000	   0.1446	    0.000	    0.000	    0.000	    0
 05/11/1988 17:50:00	   65.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.196	    0.000
 05/11/1988 18:05:00	   66.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 18:20:00	   66.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 18:35:00	   66.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 18:50:00	   66.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 19:05:00	   67.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 19:20:00	   67.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.195	    0.000
 05/11/1988 19:35:00	   67.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.194	    0.000
 05/11/1988 19:50:00	   67.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.194	    0.000
 05/11/1988 20:05:00	   68.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.194	    0.000
 05/11/1988 20:20:00	   68.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.194	    0.000
 05/11/1988 20:35:00	   68.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.194	    0.000
 05/11/1988 20:50:00	   68.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 21:05:00	   69.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 21:20:00	   69.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 21:35:00	   69.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 21:50:00	   69.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 22:05:00	   70.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.193	    0.000
 05/11/1988 22:20:00	   70.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 22:35:00	   70.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 22:50:00	   70.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 23:05:00	   71.083	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 23:20:00	   71.333	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 23:35:00	   71.583	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.192	    0.000
 05/11/1988 23:49:59	   71.833	    0.000	   0.1446	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	    0.000
